Date,AAPL,MSFT,GOOGL,TSLA,AMZN,JNJ,BRK-B,JPM,WMT,DIS,PG,V,PYPL,NFLX,CRM,CSCO,INTC,T,BA,MA,XOM,PEP,ADBE,CMCSA,KO,HD,UNH,TMUS
2022-04-12 00:00:00-04:00,166.1958770751953,278.12164306640625,127.7145004272461,328.98333740234375,150.78750610351562,172.594970703125,349.739990234375,125.4897689819336,149.7208709716797,130.83999633789062,152.13377380371094,208.9423828125,108.25,344.1000061035156,194.80999755859375,49.3717155456543,44.18251419067383,17.519588470458984,176.27999877929688,342.6241455078125,81.23426818847656,166.4125518798828,426.7699890136719,45.19205856323242,61.740108489990234,294.40234375,522.4580688476562,131.44000244140625
2022-04-13 00:00:00-04:00,168.9119415283203,283.6040344238281,129.8939971923828,340.7900085449219,155.54100036621094,173.32415771484375,346.2200012207031,121.44480895996094,153.61952209472656,132.35000610351562,152.56430053710938,210.79066467285156,105.16999816894531,350.42999267578125,195.72000122070312,49.686134338378906,44.66709899902344,17.644975662231445,182.8699951171875,351.87835693359375,82.382568359375,166.12448120117188,431.6700134277344,45.82331466674805,61.90268325805664,298.3720703125,525.6787109375,134.85000610351562
2022-04-14 00:00:00-04:00,163.8465576171875,275.9227600097656,126.7300033569336,328.3333435058594,151.7064971923828,172.594970703125,344.3299865722656,120.31908416748047,153.4827117919922,130.47000122070312,151.7128143310547,210.3162384033203,102.30999755859375,341.1300048828125,189.41000366210938,48.75242614746094,43.39387512207031,17.75400733947754,181.94000244140625,354.53375244140625,83.35054779052734,165.06820678710938,420.44000244140625,45.5076904296875,62.180015563964844,292.70098876953125,523.5446166992188,132.9600067138672
2022-04-18 00:00:00-04:00,163.6284942626953,276.6031188964844,127.67649841308594,334.7633361816406,152.78500366210938,170.4459686279297,346.6499938964844,122.55144500732422,152.31021118164062,127.7699966430664,150.26809692382812,210.69183349609375,100.58000183105469,337.8599853515625,187.00999450683594,48.69525909423828,44.31553268432617,17.681316375732422,179.85000610351562,353.5231018066406,84.03382873535156,163.64700317382812,425.4700012207031,44.81904983520508,61.6253547668457,288.55828857421875,522.8203125,130.75999450683594
2022-04-19 00:00:00-04:00,165.93814086914062,281.31640625,130.00900268554688,342.7166748046875,158.11549377441406,175.6458740234375,348.5,125.08910369873047,154.0396728515625,131.89999389648438,152.5164794921875,213.19241333007812,103.66000366210938,348.6099853515625,191.38999938964844,49.38125228881836,45.54124069213867,17.708576202392578,185.97999572753906,360.52813720703125,83.28412628173828,166.0284423828125,436.3999938964844,46.01460266113281,62.22782897949219,295.85369873046875,526.3638916015625,132.83999633789062
2022-04-20 00:00:00-04:00,165.76962280273438,282.3616027832031,128.0399932861328,325.73333740234375,153.9980010986328,176.4229736328125,348.82000732421875,125.52793884277344,155.9743194580078,124.56999969482422,156.57310485839844,215.2581329345703,94.9000015258789,226.19000244140625,186.22999572753906,50.5150260925293,45.7122802734375,17.654062271118164,183.5500030517578,361.9351501464844,83.47391510009766,168.49632263183594,428.1099853515625,45.335533142089844,63.078956604003906,302.90887451171875,534.4987182617188,132.6999969482422
2022-04-21 00:00:00-04:00,164.96669006347656,276.8891296386719,124.81449890136719,336.260009765625,148.29600524902344,175.91448974609375,343.6000061035156,124.55486297607422,156.20880126953125,121.66000366210938,156.450927734375,213.93368530273438,89.4000015258789,218.22000122070312,177.22999572753906,50.28636169433594,45.1326789855957,18.362768173217773,181.02000427246094,361.0929260253906,82.59134674072266,167.89134216308594,417.4800109863281,44.89556121826172,63.31803894042969,298.3143615722656,526.1094360351562,132.10000610351562
2022-04-22 00:00:00-04:00,160.37710571289062,270.20379638671875,119.635498046875,335.01666259765625,144.35000610351562,174.1683807373047,335.55999755859375,120.97734069824219,153.26776123046875,118.2699966430664,155.14244079589844,205.74996948242188,86.02999877929688,215.52000427246094,171.42999267578125,48.93345260620117,44.220523834228516,17.735836029052734,176.9199981689453,347.9547119140625,80.78824615478516,165.3082733154297,408.6700134277344,43.40350341796875,62.39997100830078,288.4621887207031,509.95721435546875,128.6300048828125
2022-04-25 00:00:00-04:00,161.4575958251953,276.8003845214844,123.0739974975586,332.67333984375,146.07400512695312,178.45687866210938,336.95001220703125,120.93917083740234,153.34591674804688,119.94999694824219,156.39320373535156,207.50924682617188,87.77999877929688,209.91000366210938,174.57000732421875,49.486045837402344,44.71460723876953,17.726747512817383,175.91000366210938,351.3432922363281,78.06462860107422,166.83506774902344,413.95001220703125,43.71913528442383,63.05984115600586,293.104736328125,513.2171020507812,128.80999755859375
2022-04-26 00:00:00-04:00,155.43072509765625,266.4469909667969,118.6500015258789,292.1400146484375,139.39100646972656,177.18089294433594,330.6499938964844,117.36165618896484,151.7434844970703,115.7699966430664,153.7377471923828,198.76214599609375,83.69999694824219,198.39999389648438,170.0800018310547,48.49518966674805,43.25135803222656,17.53594207763672,167.0399932861328,340.9496154785156,78.09309387207031,166.4125518798828,399.1199951171875,42.628787994384766,62.208709716796875,288.31805419921875,502.9482727050781,124.95999908447266
2022-04-27 00:00:00-04:00,155.20272827148438,279.2654724121094,114.29450225830078,293.836669921875,138.16700744628906,174.70567321777344,329.5799865722656,115.83525085449219,150.70774841308594,115.20999908447266,153.3240203857422,211.6208953857422,82.61000061035156,188.5399932861328,174.67999267578125,46.980308532714844,42.96630859375,17.326963424682617,154.4600067138672,358.2492980957031,80.3232421875,167.90097045898438,397.8999938964844,42.51401138305664,62.69643020629883,289.8943786621094,502.97760009765625,129.83999633789062
2022-04-28 00:00:00-04:00,162.21096801757812,285.5859680175781,118.52249908447266,292.5033264160156,144.59649658203125,176.01043701171875,331.2699890136719,117.66693878173828,152.63265991210938,115.29000091552734,157.22064208984375,218.09474182128906,92.08999633789062,199.52000427246094,185.74000549316406,48.23794174194336,44.50556564331055,17.644975662231445,154.22000122070312,375.35076904296875,82.75267791748047,170.44564819335938,410.5299987792969,39.883785247802734,63.29891586303711,299.6600036621094,513.3639526367188,132.2899932861328
2022-04-29 00:00:00-04:00,156.2732696533203,273.6450500488281,114.1094970703125,290.2533264160156,124.28150177001953,173.1322784423828,322.8299865722656,113.87000274658203,149.4864044189453,111.62999725341797,154.46897888183594,210.65231323242188,87.93000030517578,190.36000061035156,175.94000244140625,46.665897369384766,41.417545318603516,17.13616180419922,148.83999633789062,360.04266357421875,80.90213012695312,164.8857421875,395.95001220703125,38.028282165527344,61.78792953491211,288.7409362792969,497.8284606933594,123.13999938964844
2022-05-02 00:00:00-04:00,156.58056640625,280.4980163574219,116.58300018310547,300.9800109863281,124.5,171.38616943359375,318.19000244140625,114.90985870361328,148.49949645996094,113.5,152.38116455078125,209.07090759277344,91.52999877929688,199.4600067138672,177.57000732421875,47.50431823730469,42.719261169433594,17.37239646911621,148.61000061035156,355.7425231933594,82.00297546386719,161.0927276611328,407.2900085449219,38.688232421875,60.669029235839844,295.05596923828125,490.58453369140625,126.4000015258789
2022-05-03 00:00:00-04:00,158.0872802734375,277.8455810546875,117.33399963378906,303.0833435058594,124.25350189208984,171.0503692626953,318.989990234375,117.37120056152344,149.0173797607422,113.55000305175781,150.29335021972656,206.1354217529297,90.70999908447266,199.8699951171875,178.36000061035156,47.561485290527344,42.81428146362305,17.563203811645508,153.5800018310547,354.5039978027344,83.69218444824219,161.3135986328125,407.5799865722656,38.611717224121094,60.32476043701172,293.1239929199219,489.0867614746094,126.25
2022-05-04 00:00:00-04:00,164.57020568847656,285.93109130859375,122.26100158691406,317.5400085449219,125.92849731445312,172.8828125,326.79998779296875,121.25399780273438,151.07904052734375,116.19000244140625,151.3997802734375,212.02615356445312,92.72000122070312,204.00999450683594,185.47999572753906,49.14305877685547,44.220523834228516,18.12653350830078,156.97000122070312,365.13543701171875,87.0231704711914,166.95030212402344,423.3500061035156,39.80727005004883,62.18958282470703,303.0722351074219,496.9180908203125,132.3699951171875
